STAT_VAR,STAT_PRES,SEX,AGE,CCYY,H,OBS_VALUE,SD_VALUE
POP,Prop_1dp_%_n,M,14,2003,2,0.7,
POP,Prop_1dp_%_n,M,14,2004,2,0.7,
POP,Prop_1dp_%_n,M,14,2005,2,0.6,
POP,Prop_1dp_%_n,M,14,2006,2,0.6,
POP,Prop_1dp_%_n,M,14,2007,2,0.6,
POP,Prop_1dp_%_n,M,14,2008,2,0.6,
POP,Prop_1dp_%_n,M,14,2009,2,0.6,
POP,Prop_1dp_%_n,M,14,2010,2,0.6,
POP,Prop_1dp_%_n,M,14,2011,2,0.5,
POP,Prop_1dp_%_n,M,14,2012,2,0.5,
POP,Prop_1dp_%_n,M,14,2013,2,0.4,
POP,Prop_1dp_%_n,M,14,2014,2,0.4,
POP,Prop_1dp_%_n,M,14,2015,2,0.4,
POP,Prop_1dp_%_n,M,14,2016,2,0.4,
POP,Prop_1dp_%_n,M,14,2017,2,0.4,
POP,Prop_1dp_%_n,M,14,2018,2,0.4,
POP,Prop_1dp_%_n,M,14,2019,2,0.3,
POP,Prop_1dp_%_n,M,14,2020,2,0.4,
POP,Prop_1dp_%_n,M,14,2021,2,0.4,
POP,Prop_1dp_%_n,M,14,2022,2,0.4,
POP,Prop_1dp_%_n,M,15,2000,2,0.7,
POP,Prop_1dp_%_n,M,15,2001,2,0.6,
POP,Prop_1dp_%_n,M,15,2002,2,0.6,
POP,Prop_1dp_%_n,M,15,2003,2,0.7,
POP,Prop_1dp_%_n,M,15,2004,2,0.7,
POP,Prop_1dp_%_n,M,15,2005,2,0.7,
POP,Prop_1dp_%_n,M,15,2006,2,0.6,
POP,Prop_1dp_%_n,M,15,2007,2,0.6,
POP,Prop_1dp_%_n,M,15,2008,2,0.6,
POP,Prop_1dp_%_n,M,15,2009,2,0.6,
POP,Prop_1dp_%_n,M,15,2010,2,0.6,
POP,Prop_1dp_%_n,M,15,2011,2,0.6,
POP,Prop_1dp_%_n,M,15,2012,2,0.5,
POP,Prop_1dp_%_n,M,15,2013,2,0.5,
POP,Prop_1dp_%_n,M,15,2014,2,0.4,
POP,Prop_1dp_%_n,M,15,2015,2,0.4,
POP,Prop_1dp_%_n,M,15,2016,2,0.4,
POP,Prop_1dp_%_n,M,15,2017,2,0.4,
POP,Prop_1dp_%_n,M,15,2018,2,0.4,
POP,Prop_1dp_%_n,M,15,2019,2,0.4,
POP,Prop_1dp_%_n,M,15,2020,2,0.3,
POP,Prop_1dp_%_n,M,15,2021,2,0.4,
